FileName,gh,rep,RPid,entry,genotype,DaysToAnthesis,Anthesis,FruitSetRipening,DaysToMaturity,DaysToHarvest,ht_1,ht1Age_days,ht_2,ht2Age_days,ht_harvest,Infl_L,Infl_W,Infl_Area,inflorescenceColor,inflorescenceShape,inflorescenceDensity,inflorescenceLeafiness,Moisture,Ash.14,Crude.Fat.14,Crude.Protein.14,Total.AA.14.mgG,Histidine.14.mgG,Isoleucine.14.mgG,Leucine.14.mgG,Lysine.14.mgG,SAA.14.mgG,AAA.14.mgG,Threonine.14.mgG,Tryptophan.14.mgG,Valine.14.mgG,Protein.14_Yield,Yield_g,TSW,totalSeeds,AvgArea_mm2,AvgEccentricity,TotalCount,sumRGB
1834B 1032,34B,1,34B_1,32,Brightest-Brilliant-Rainbow,43,15,12,70,83,52,35,77,41,126,21,6,126,6,3,5,3,6.880518274,2.590604793,2.767782746,11.60574431,832.2700449,26.31796507,36.96127112,59.5598638,61.52565552,39.14105729,62.08155357,33.73006181,10.48011889,44.91255053,0.831667637,7.166,2.871268657,2495.760884,2.657406551,0.335478104,536,363.649633
1834B 1033,34B,1,34B_1,33,CHEN-470,60,12,55,127,141,44,35,57,41,162,33,10,330,13,3,3,1,7.485667313,2.708935879,2.825104194,13.48241551,822.3216705,26.75717947,37.60899587,57.04034786,56.0911507,37.76547737,63.12423576,30.18575327,10.21084587,42.74319984,0.439796394,3.262,2.815789474,1158.46729,2.862972776,0.294593287,494,433.1432095
1834B 1034,34B,1,34B_1,34,CHEN-291,50,14,20,84,97,49,35,62,41,152,28,13,364,13,3,1,3,7.629050712,2.739213121,3.678066668,15.83012235,819.6649761,27.75277852,39.64508535,59.72093405,54.7249012,36.41654144,62.77124457,30.71812749,8.878310726,44.49454842,0.97561044,6.163,4.251533742,1449.594517,3.575896602,0.304200995,163,236.6141986
1834B 1035,34B,1,34B_1,35,RU-5,42,16,12,70,83,42,35,56,41,89,21,6,126,5,3,5,3,7.056555651,2.399914904,3.616847106,12.00735223,852.7462658,27.8260645,39.6514241,59.75992631,59.33973353,36.41845821,63.93307031,33.97471271,10.69022014,46.02489462,0.6947454,5.786,2.170512821,2665.729474,2.160910921,0.348323011,780,333.1645888
1834B 1036,34B,1,34B_1,36,Regalona,39,11,16,66,80,52,35,72,41,98,17,27,459,13,3,3,5,7.34645584,2.630573874,4.568177244,14.34226244,837.4826892,27.65761876,39.80621912,59.51425928,52.65582098,35.79420441,63.96207955,32.23588784,9.210470766,44.34089868,1.338993621,9.336,2.906716418,3211.87163,2.727091387,0.363116698,536,344.7762636
1834B 1037,34B,1,34B_1,37,CHEN-90,50,12,12,74,88,47,35,62,41,158,30,8,240,13,5,5,1,7.958424029,3.223653307,3.773080276,17.40537209,790.5307319,26.91078211,37.52982282,57.11467259,NA,NA,63.06841155,28.07014188,NA,41.87228783,0.360813363,2.073,2.778008299,746.2180732,3.133554613,0.316966078,482,420.2580157
1834B 1038,34B,1,34B_1,38,NSL-86628,43,17,12,72,86,43,35,65,41,125,19,11,209,3,3,3,3,7.224456175,2.666355452,3.934795414,15.0173826,829.1875011,27.40838367,39.32690389,59.86084522,54.7222757,36.59600232,63.34042308,31.97283881,9.762218012,44.02279476,0.978382476,6.515,2.833992095,2298.877266,2.621276828,0.342413554,506,355.8712424
1834B 1039,34B,1,34B_1,39,BO-40,50,12,12,74,88,43,35,56,41,143,24,6,144,13,3,5,3,6.935148819,2.547162003,3.63585781,12.72101877,848.638506,27.42306583,39.6132374,60.69685322,56.62207777,36.6210803,63.21902509,33.39021068,10.43967991,45.98440997,1.136114186,8.931,2.524163569,3538.201767,2.222937287,0.339507425,538,367.9718065
1834B 1040,34B,1,34B_1,40,Ames-13753,46,20,26,92,107,46,35,57,41,105,19,11,209,5,3,1,1,7.289019495,2.81382251,4.474568399,14.94744667,819.2754913,27.07288799,38.44289617,58.90943923,57.52549731,37.49587213,62.47536808,31.10996636,9.887316272,42.95593618,1.048712858,7.016,3.42920354,2045.956129,3.102088825,0.309989654,452,383.152338
1834B 1041,34B,1,34B_1,41,Ames-13721,40,18,16,74,88,45,35,62,41,107,23,8,184,5,3,5,3,7.198404175,2.622662969,4.242184402,14.42777856,827.7968938,27.50478026,38.38460847,59.06630797,56.05979272,37.06337335,63.52938589,31.4932901,10.44754586,43.70810751,1.008213166,6.988,3.015384615,2317.44898,3.20673728,0.354855237,520,377.6754728
