"","Yield_g","TSW","Lysine.14.mgG"
"185",5.541,2.220512821,57.63589567
"186",1.324,2.752598753,57.82108744
"187",3.138,2.018348624,58.8605325
"188",4.045,2.007537688,52.42194606
"189",8.559,2.434850863,55.27939386
"190",5.749,2.723027375,56.29228174
"191",9.775,2.6439523,55.34040288
"192",5.576,2.223549488,54.75953122
"193",5.078,2.912133891,54.27506696
"194",8.653,2.535060976,53.68065998
"195",5.3,2.979245283,56.14087936
"196",5.946,3.077844311,53.77308362
"197",4.818,2.078457447,52.94495752
"198",5.931,3.69895288,56.57568255
"199",3.102,2.906779661,55.85471894
"200",0.066,1.758017493,51.14063066
"201",4.618,2.238235294,54.95878422
"202",3.633,1.696493349,52.45989186
"203",2.42,2.55721393,55.46825903
"204",6.778,2.75432526,51.66045908
"205",4.302,2.384126984,57.61890287
"206",3.418,1.905206943,54.23118905
"207",3.032,1.563772776,53.31710492
"208",2.029,1.925443787,52.80826797
"209",3.051,2.157421289,54.89723628
"210",8.666,1.951315789,50.70693109
"211",5.055,2.790384615,55.69470806
"212",6.457,3.670644391,56.92679857
"213",7.68,2.6546875,58.90856793
"214",4.93,1.63875,55.26338677
"215",5.626,1.6380182,53.1490091
"216",6.708,2.528233151,55.69833855
"217",1.627,1.805771365,54.56908218
"218",7.412,2.434640523,54.49413822
"219",3.419,2.12519084,57.97915073
"220",7.21,2.532679739,58.41579165
"221",5.57,3.082061069,57.49160043
"222",0.903,1.497512438,55.65887127
"223",5.729,1.271428571,57.98733725
"224",6.191,2.57885906,59.67589029
"225",2.024,2.752598753,59.36515486
"226",3.289,1.761415525,53.47340616
"227",3.589,1.557711951,53.57077678
"228",1.479,2.48989899,53.91008431
"229",12.317,2.899122807,57.55409174
"230",3.994,1.04491018,53.24626453
"231",7.348,3.638820639,59.44818791
"232",7.242,2.79222973,53.27968254
"233",10.486,3.417190776,56.97605845
"234",8.477,3.107798165,60.91153463
"235",5.25,3.36,52.12407071
"236",1.76,2.195710456,51.66491143
"237",5.185,2.174033149,57.07362892
"238",5.604,1.960858586,52.62201785
"239",1.694,2.237780713,54.77560021
"240",3.064,3.76300578,56.34613685
"241",4.948,1.83030303,52.62413215
"242",3.841,1.994771242,54.30240112
"243",3.941,2.155802862,54.12146169
"244",6.749,1.69787234,56.01510307
"245",5.665,1.529344074,51.31439795
"246",2.902,2.538336052,53.27078451
"247",4.328,2.366987179,51.0870567
"248",3.605,3.292620865,56.82460674
"249",2.859,3.700980392,55.81602658
"250",4.253,3.779156328,56.33680547
"251",3.308,2.001336898,55.4904625
"252",3.912,2.188626907,52.90283881
"253",5.434,1.910326087,54.99563167
"254",4.569,2.394904459,53.85805115
"255",3.08,2.045103093,53.82439402
"256",9.996,3.959488273,54.02082942
"257",2.737,2.612781955,55.702084
"258",2.032,3.16,55.71976172
"259",5.774,2.246533128,56.46441512
"260",1.51,1.591148577,53.08898
"261",5.259,4.061994609,54.416868
"262",4.94,3.432304038,54.48438947
"263",1.853,2.383161512,56.63138209
"264",2.469,2.765048544,55.07477292
"265",4.85,3.051502146,55.34825649
"266",5.938,2.717898833,54.73488955
"267",7.766,2.727626459,53.57396625
"268",5.32,2.239416058,55.23064159
"269",1.299,2.058637084,51.89496852
"270",6.799,1.768041237,52.57100296
"271",3.706,1.852941176,54.79449825
"272",6.133,3.151051625,58.9000045
"273",5.541,2.174603175,51.96287205
"274",2.655,2.963601533,55.80373733
"275",6.82,2.371294852,55.90073344
"276",6.168,2.549450549,52.15747597
"277",2.298,2.386748844,52.76039592
"278",1.717,1.79414838,56.37335112
"279",2.041,3.097664544,52.67796762
"280",3.303,3.178498986,56.35153318
"281",0.057,2.272727273,53.43861232
"282",1.106,2.126923077,54.58905363
"283",6.618,3.326576577,56.49264834
"284",2.021,2.133748056,53.27304132
"285",6.116,2.346801347,51.81169773
"286",1.551,2.382488479,57.4763377
"287",4.012,2.371248025,54.29499877
"288",6.689,2.353675451,54.74112913
"289",0.795,1.810933941,56.05117088
"290",5.531,1.469628286,57.49451081
"291",7.248,2.752079867,55.44406207
"292",5.382,3.32196162,55.21386545
"293",1.2,2.010050251,57.98733725
"294",7.833,3.289962825,56.44959423
"295",3.812,1.877412032,58.05195097
"296",5.092,2.353846154,54.52193146
"297",8.722,3.905027933,53.41896196
"298",0.223,1.438709677,54.28003998
"299",3.439,1.818417639,55.75101041
"300",0.159,1.127659574,50.45274623
"301",2.364,2.148318043,50.35678437
"302",2.345,2.510172144,56.46156382
"303",9.102,2.940298507,54.12168938
"304",3.868,1.24813154,52.8561764
"305",6.879,2.390532544,54.12916431
"306",1.747,2.718220339,56.36195063
"307",1.14,1.922428331,56.19146216
